add device 1: /dev/input/event11
  name:     "rt5648-audio Intel MID Audio Jack"
add device 2: /dev/input/event10
  name:     "headset_dev"
add device 3: /dev/input/event9
  name:     "headset_dev"
add device 4: /dev/input/event8
  name:     "headset_dev"
add device 5: /dev/input/event7
  name:     "headset_dev"
add device 6: /dev/input/event6
  name:     "headset_dev"
add device 7: /dev/input/event2
  name:     "mid_powerbtn"
add device 8: /dev/input/event1
  name:     "gpio-keys"
add device 9: /dev/input/event5
  name:     "headset_dev"
add device 10: /dev/input/event4
  name:     "headset_dev"
add device 11: /dev/input/event3
  name:     "goodix-touchscreen"
add device 12: /dev/input/event0
  name:     "lid_input"
[   10379.082986] /dev/input/event3: EV_KEY       BTN_TOUCH            DOWN                
[   10379.337159] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.349631] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000b3            
[   10379.349631] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002a8            
[   10379.349631] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.349631] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.349631] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.349631] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.349631] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.361655] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000c7            
[   10379.361655] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002b2            
[   10379.361655] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.361655] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.361655] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.361655] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.361655] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.374234] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000e1            
[   10379.374234] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002bf            
[   10379.374234] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.374234] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.374234] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.374234] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.374234] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.385935] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000fe            
[   10379.385935] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002cc            
[   10379.385935] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.385935] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.385935] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.385935] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.385935] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.398064] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000119            
[   10379.398064] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002da            
[   10379.398064] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.398064] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.398064] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.398064] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.398064] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.410244] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000133            
[   10379.410244] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002e8            
[   10379.410244] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.410244] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.410244] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.410244] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.410244] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.422964] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    0000014b            
[   10379.422964] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002f4            
[   10379.422964] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.422964] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.422964] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.422964] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.422964] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.434565] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000160            
[   10379.434565] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002fc            
[   10379.434565] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.434565] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.434565] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.434565] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.434565] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.446695] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000170            
[   10379.446695] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000302            
[   10379.446695] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.446695] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.446695] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.446695] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.446695] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.458783] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    0000017a            
[   10379.458783] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000307            
[   10379.458783] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.458783] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.458783] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.458783] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.458783] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.471236] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000180            
[   10379.471236] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000030c            
[   10379.471236] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.471236] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.471236] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
